----------------------------------
Started listening on port 4444
Old Timestamp (received),New Timestamp (current),Latency (difference)
1659910524.890264,1659910554.948382,30.58118
1659910554.948382,1659910554.957962,0.9580
1659910554.957962,1659910554.964680,0.6718
1659910554.964680,1659910554.969799,0.5119
1659910554.969799,1659910554.976114,0.6315
1659910554.976114,1659910554.981949,0.5835
1659910554.981949,1659910554.986383,0.4434
1659910554.986383,1659910554.990603,0.4220
1659910554.990603,1659910554.994534,0.3931
1659910554.994534,1659910555.239,0.994295
1659910555.239,1659910555.5361,0.5122
1659910555.5361,1659910555.11205,0.5844
1659910555.11205,1659910555.16618,0.5413
1659910555.16618,1659910555.21876,0.5258
1659910555.21876,1659910555.27391,0.5515
1659910555.27391,1659910555.31697,0.4306
1659910555.31697,1659910555.36348,0.4651
1659910555.36348,1659910555.40302,0.3954
1659910555.40302,1659910555.44504,0.4202
1659910555.44504,1659910555.49659,0.5155
