----------------------------------
Started listening on port 8080
Old Timestamp (received),New Timestamp (current)
1632851970.859766,1632852000.948458,30.88692
1632852000.948458,1632852000.962642,0.14184
1632852000.962642,1632852000.969467,0.6825
1632852000.969467,1632852000.984234,0.14767
1632852000.984234,1632852001.1039,0.983195
1632852001.1039,1632852001.11154,0.10115
1632852001.11154,1632852001.28723,0.17569
1632852001.28723,1632852001.40355,0.11632
1632852001.40355,1632852001.51760,0.11405
1632852001.51760,1632852001.65078,0.13318
1632852001.65078,1632852001.74605,0.9527
1632852001.74605,1632852001.84956,0.10351
1632852001.84956,1632852001.102357,0.17401
1632852001.102357,1632852001.115993,0.13636
1632852001.115993,1632852001.131668,0.15675
1632852001.131668,1632852001.140724,0.9056
1632852001.140724,1632852001.154804,0.14080
1632852001.154804,1632852001.171255,0.16451
1632852001.171255,1632852001.187145,0.15890
1632852001.187145,1632852001.193980,0.6835
