----------------------------------
Started listening on port 4444
Old Timestamp (received),New Timestamp (current),Latency (difference)
1633621475.245652,1633621475.256160,0.10508
1633621475.256160,1633621475.266405,0.10245
1633621475.266405,1633621475.277504,0.11099
1633621475.277504,1633621475.286335,0.8831
1633621475.286335,1633621475.296738,0.10403
1633621475.296738,1633621475.307906,0.11168
1633621475.307906,1633621475.319147,0.11241
1633621475.319147,1633621475.330952,0.11805
1633621475.330952,1633621475.353449,0.22497
1633621475.353449,1633621475.363836,0.10387
1633621475.363836,1633621475.378285,0.14449
1633621475.378285,1633621475.389829,0.11544
1633621475.389829,1633621475.400059,0.10230
1633621475.400059,1633621475.412495,0.12436
1633621475.412495,1633621475.424852,0.12357
1633621475.424852,1633621475.435813,0.10961
1633621475.435813,1633621475.446889,0.11076
1633621475.446889,1633621475.460636,0.13747
1633621475.460636,1633621475.472349,0.11713
1633621475.460636,1633621476.590082,1.129446
1633621476.590082,1633621476.603855,0.13773
1633621476.603855,1633621476.623633,0.19778
1633621476.623633,1633621476.642125,0.18492
1633621476.642125,1633621476.662649,0.20524
1633621476.662649,1633621476.680213,0.17564
1633621476.680213,1633621476.693520,0.13307
1633621476.693520,1633621476.706809,0.13289
1633621476.706809,1633621476.713816,0.7007
1633621476.713816,1633621476.727686,0.13870
1633621476.727686,1633621476.739578,0.11892
1633621476.739578,1633621476.760346,0.20768
1633621476.760346,1633621476.776256,0.15910
1633621476.776256,1633621476.786136,0.9880
1633621476.786136,1633621476.803530,0.17394
1633621476.803530,1633621476.812776,0.9246
1633621476.812776,1633621476.834130,0.21354
1633621476.834130,1633621476.846136,0.12006
1633621476.846136,1633621476.862928,0.16792
1633621476.862928,1633621476.877740,0.14812
