----------------------------------
Started listening on port 8080
Old Timestamp (received),New Timestamp (current)
1632851965.544135,1632851970.601908,5.57773
1632851970.601908,1632851970.622251,0.20343
1632851970.622251,1632851970.638849,0.16598
1632851970.638849,1632851970.649457,0.10608
1632851970.649457,1632851970.668076,0.18619
1632851970.668076,1632851970.677976,0.9900
1632851970.677976,1632851970.687058,0.9082
1632851970.687058,1632851970.707732,0.20674
1632851970.707732,1632851970.724146,0.16414
1632851970.724146,1632851970.740130,0.15984
1632851970.740130,1632851970.756483,0.16353
1632851970.756483,1632851970.767561,0.11078
1632851970.767561,1632851970.787100,0.19539
1632851970.787100,1632851970.795758,0.8658
1632851970.795758,1632851970.809304,0.13546
1632851970.809304,1632851970.823402,0.14098
1632851970.823402,1632851970.837831,0.14429
1632851970.837831,1632851970.850600,0.12769
1632851970.850600,1632851970.859766,0.9166
1632851970.859766,1632851970.873048,0.13282
